Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;Торговый календарь
1;1COV@DE;Covestro AG;Акции;Акции иностранного эмитента обыкновенные;;DE0006062144;;1,00;0,01;EUR;01.03.2021 0:00:00;Эмитенты с листингом в ФРГ
2;A;Agilent Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00846U1016;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
3;AA;Alcoa Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0138721065;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
4;AAL;American Airlines Group Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02376R1023;;1,00;0,01;USD;18.05.2017 0:00:00;Эмитенты с листингом в США
5;AAN;The Aaron’s Company, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00258W1080;;1,00;0,01;USD;10.12.2020 0:00:00;Эмитенты с листингом в США
6;AAON;AAON, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0003602069;;1,00;0,01;USD;13.10.2020 0:00:00;Эмитенты с листингом в США
7;AAP;Advance Auto Parts, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00751Y1064;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
8;AAPL;Apple Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0378331005;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;Эмитенты с листингом в США
9;ABBV;AbbVie Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00287Y1091;ESVXFR;1,00;0,01;USD;28.11.2014 0:00:00;Эмитенты с листингом в США
10;ABC;AmerisourceBergen Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03073E1055;;1,00;0,01;USD;18.05.2020 0:00:00;Эмитенты с листингом в США
11;ABCL;AbCellera Biologics Inc.;Акции;Акции иностранного эмитента обыкновенные;;CA00288U1066;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
12;ABG;Asbury Automotive Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0434361046;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
13;ABMD;ABIOMED, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0036541003;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
14;ABNB;Airbnb, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0090661010;;1,00;0,01;USD;10.12.2020 0:00:00;Эмитенты с листингом в США
15;ABT;Abbott Laboratories;Акции;Акции иностранного эмитента обыкновенные;;US0028241000;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
16;ACAD;ACADIA Pharmaceuticals Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0042251084;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
17;ACGL;Arch Capital Group Ltd.;Акции;Акции иностранного эмитента обыкновенные;;BMG0450A1053;;1,00;0,01;USD;26.10.2021 0:00:00;Эмитенты с листингом в США
18;ACH;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные класса H;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций класса H  Aluminum Corporation of China Limited;US0222761092;ESVUFA;1,00;0,01;USD;18.05.2017 0:00:00;Эмитенты с листингом в США
19;ACIW;ACI Worldwide, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0044981019;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
20;ACLS;Axcelis Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0545402085;;1,00;0,01;USD;28.01.2022 0:00:00;Эмитенты с листингом в США
21;ACM;AECOM;Акции;Акции иностранного эмитента обыкновенные;;US00766T1007;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
22;ACMR;ACM Research, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00108J1097;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
23;ACN;Accenture plc;Акции;Акции иностранного эмитента обыкновенные класса A;;IE00B4BNMY34;;1,00;0,01;USD;06.10.2016 0:00:00;Эмитенты с листингом в США
24;ADBE;Adobe Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00724F1012;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
25;ADI;Analog Devices, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0326541051;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
26;ADM;Archer-Daniels-Midland Company;Акции;Акции иностранного эмитента обыкновенные;;US0394831020;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
27;ADP;Automatic Data Processing, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0530151036;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
28;ADPT;Adaptive Biotechnologies Corporation;Акции;Акции иностранного эмитента обыкновенные;;US00650F1093;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
29;ADS;Alliance Data Systems Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0185811082;;1,00;0,01;USD;18.05.2017 0:00:00;Эмитенты с листингом в США
30;ADS@DE;adidas AG;Акции;Акции иностранного эмитента обыкновенные;;DE000A1EWWW0;;1,00;0,01;EUR;29.09.2020 0:00:00;Эмитенты с листингом в ФРГ
31;ADSK;Autodesk, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0527691069;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
32;ADUS;Addus HomeCare Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0067391062;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
33;AEE;Ameren Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0236081024;;1,00;0,01;USD;31.08.2017 0:00:00;Эмитенты с листингом в США
34;AEIS;Advanced Energy Industries, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0079731008;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
35;AEM;Agnico Eagle Mines Limited;Акции;Акции иностранного эмитента обыкновенные;;CA0084741085;NULL;1,00;0,01;USD;28.01.2022 0:00:00;Эмитенты с листингом в США
36;AEO;American Eagle Outfitters, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02553E1064;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
37;AER;AerCap Holdings N.V.;Акции;Акции иностранного эмитента обыкновенные;;NL0000687663;;1,00;0,01;USD;28.01.2022 0:00:00;Эмитенты с листингом в США
38;AERI;Aerie Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00771V1089;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
39;AES;The AES Corporation;Акции;Акции иностранного эмитента обыкновенные;;US00130H1059;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
40;AFG;American Financial Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0259321042;;1,00;0,01;USD;18.05.2020 0:00:00;Эмитенты с листингом в США
41;AFL;Aflac Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US0010551028;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
42;AFMD;Affimed N.V.;Акции;Акции иностранного эмитента обыкновенные;;NL0010872420;;1,00;0,01;USD;01.06.2021 0:00:00;Эмитенты с листингом в США
43;AFRM;Affirm Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00827B1061;;1,00;0,01;USD;26.10.2021 0:00:00;Эмитенты с листингом в США
44;AFX@DE;Carl Zeiss Meditec AG;Акции;Акции иностранного эмитента обыкновенные;;DE0005313704;;1,00;0,01;EUR;21.08.2020 0:00:00;Эмитенты с листингом в ФРГ
45;AGCO;AGCO Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0010841023;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
46;AGIO;Agios Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00847X1046;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
47;AGNC;AGNC Investment Corp.;Акции;Акции иностранного эмитента обыкновенные;;US00123Q1040;;1,00;0,01;USD;28.01.2022 0:00:00;Эмитенты с листингом в США
48;AI;C3.ai, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US12468P1049;;1,00;0,01;USD;27.08.2021 0:00:00;Эмитенты с листингом в США
49;AIG;American International Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0268747849;;1,00;0,01;USD;06.10.2016 0:00:00;Эмитенты с листингом в США
50;AIN;Albany International Corp.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0123481089;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
51;AIR;AAR CORP.;Акции;Акции иностранного эмитента обыкновенные;;US0003611052;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
52;AIRC;Apartment Income REIT Corp.;Акции;Акции иностранного инвестиционного фонда класса A;;US03750L1098;;1,00;0,01;USD;30.12.2020 0:00:00;Эмитенты с листингом в США
53;AIT;Applied Industrial Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03820C1053;;1,00;0,01;USD;13.10.2020 0:00:00;Эмитенты с листингом в США
54;AIV;Apartment Investment & Management Company;Акции;Акции иностранного эмитента обыкновенные класса A;;US03748R7474;;1,00;0,01;USD;08.12.2020 0:00:00;Эмитенты с листингом в США
55;AIZ;Assurant, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US04621X1081;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
56;AJG;Arthur J. Gallagher & Co.;Акции;Акции иностранного эмитента обыкновенные;;US3635761097;;1,00;0,01;USD;31.08.2017 0:00:00;Эмитенты с листингом в США
57;AJRD;Aerojet Rocketdyne Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0078001056;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
58;AKAM;Akamai Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00971T1016;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
59;ALB;Albemarle Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0126531013;;1,00;0,01;USD;31.08.2017 0:00:00;Эмитенты с листингом в США
60;ALC;Alcon Inc.;Акции;Акции иностранного эмитента обыкновенные;;CH0432492467;;1,00;0,01;USD;28.12.2021 0:00:00;Эмитенты с листингом в США
61;ALE;ALLETE, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0185223007;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
62;ALEC;Alector, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0144421072;;1,00;0,01;USD;01.06.2021 0:00:00;Эмитенты с листингом в США
63;ALG;Alamo Group Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0113111076;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
64;ALGN;Align Technology, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0162551016;;1,00;0,01;USD;31.08.2017 0:00:00;Эмитенты с листингом в США
65;ALGT;Allegiant Travel Company;Акции;Акции иностранного эмитента обыкновенные;;US01748X1028;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
66;ALIT;Alight, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US01626W1018;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
67;ALK;Alaska Air Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0116591092;;1,00;0,01;USD;31.08.2017 0:00:00;Эмитенты с листингом в США
68;ALL;The Allstate Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0200021014;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
69;ALLE;Allegion Public Limited Company;Акции;Акции иностранного эмитента обыкновенные;;IE00BFRT3W74;;1,00;0,01;USD;01.06.2017 0:00:00;Эмитенты с листингом в США
70;ALLK;Allakos Inc.;Акции;Акции иностранного эмитента обыкновенные;;US01671P1003;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
71;ALLO;Allogene Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0197701065;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
72;ALLY;Ally Financial Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02005N1000;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
73;ALNY;Alnylam Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02043Q1076;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
74;ALRM;Alarm.com Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0116421050;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
75;ALSN;Allison Transmission Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US01973R1014;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
76;ALTR;Altair Engineering Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0213691035;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
77;ALV;Autoliv, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0528001094;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
78;ALV@DE;Allianz SE;Акции;Акции иностранного эмитента обыкновенные;;DE0008404005;;1,00;0,01;EUR;01.03.2021 0:00:00;Эмитенты с листингом в ФРГ
79;ALXO;ALX Oncology Holdings Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00166B1052;;1,00;0,01;USD;01.06.2021 0:00:00;Эмитенты с листингом в США
80;AMAT;Applied Materials, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0382221051;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
81;AMBA;Ambarella, Inc.;Акции;Акции иностранного эмитента обыкновенные;;KYG037AX1015;;1,00;0,01;USD;28.01.2022 0:00:00;Эмитенты с листингом в США
82;AMCR;Amcor plc;Акции;Акции иностранного эмитента обыкновенные;;JE00BJ1F3079;;1,00;0,01;USD;28.12.2021 0:00:00;Эмитенты с листингом в США
83;AMCX;AMC Networks Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00164V1035;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
84;AMD;Advanced Micro Devices, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0079031078;;1,00;0,01;USD;31.08.2017 0:00:00;Эмитенты с листингом в США
85;AME;AMETEK, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0311001004;;1,00;0,01;USD;06.10.2016 0:00:00;Эмитенты с листингом в США
86;AMED;Amedisys, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0234361089;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
87;AMEH;Apollo Medical Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03763A2078;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
88;AMG;Affiliated Managers Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0082521081;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
89;AMGN;Amgen Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0311621009;;1,00;0,01;USD;06.10.2016 0:00:00;Эмитенты с листингом в США
90;AMH;American Homes 4 Rent;Акции;Акции иностранного эмитента обыкновенные класса A;;US02665T3068;;1,00;0,01;USD;26.10.2021 0:00:00;Эмитенты с листингом в США
91;AMN;AMN Healthcare Services, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0017441017;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
92;AMP;Ameriprise Financial, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03076C1062;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
93;AMSF;AMERISAFE, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03071H1005;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
94;AMT;American Tower Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03027X1000;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
95;AMTI;Applied Molecular Transport Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03824M1099;;1,00;0,01;USD;01.06.2021 0:00:00;Эмитенты с листингом в США
96;AMWD;American Woodmark Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0305061097;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
97;AMZN;Amazon.com, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0231351067;ESVUFR;1,00;0,01;USD;06.10.2015 0:00:00;Эмитенты с листингом в США
98;AN;AutoNation, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US05329W1027;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
99;ANAB;AnaptysBio, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0327241065;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
100;ANDE;The Andersons, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0341641035;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
101;ANET;Arista Networks, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0404131064;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
102;ANF;Abercrombie & Fitch Co.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0028962076;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
103;ANGI;Angi Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00183L1026;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
104;ANIK;Anika Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0352551081;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
105;ANIP;ANI Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00182C1036;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
106;ANSS;ANSYS, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03662Q1058;;1,00;0,01;USD;31.08.2017 0:00:00;Эмитенты с листингом в США
107;ANTM;Anthem, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0367521038;;1,00;0,01;USD;01.06.2017 0:00:00;Эмитенты с листингом в США
108;AON;Aon plc;Акции;Акции иностранного эмитента обыкновенные класса A;;IE00BLP1HW54;;1,00;0,01;USD;03.04.2020 0:00:00;Эмитенты с листингом в США
109;AORT;Artivion, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2289031005;;1,00;0,01;USD;28.01.2022 0:00:00;Эмитенты с листингом в США
110;AOS;A. O. Smith Corporation;Акции;Акции иностранного эмитента обыкновенные;;US8318652091;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
111;AOUT;American Outdoor Brands, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02875D1090;;1,00;0,01;USD;27.08.2020 0:00:00;Эмитенты с листингом в США
112;APA;APA Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03743Q1085;;1,00;0,01;USD;09.03.2021 0:00:00;Эмитенты с листингом в США
113;APAM;Artisan Partners Asset Management Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US04316A1088;;1,00;0,01;USD;28.01.2022 0:00:00;Эмитенты с листингом в США
114;APD;Air Products & Chemicals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0091581068;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
115;APEI;American Public Education, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02913V1035;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
116;APH;Amphenol Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US0320951017;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
117;APLE;Apple Hospitality REIT, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03784Y2000;;1,00;0,01;USD;21.01.2020 0:00:00;Эмитенты с листингом в США
118;APLS;Apellis Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03753U1060;;1,00;0,01;USD;28.01.2022 0:00:00;Эмитенты с листингом в США
119;APLT;Applied Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03828A1016;;1,00;0,01;USD;13.10.2020 0:00:00;Эмитенты с листингом в США
120;APP;AppLovin Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US03831W1080;;1,00;0,01;USD;18.06.2021 0:00:00;Эмитенты с листингом в США
121;APPF;AppFolio, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US03783C1009;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
122;APPH;AppHarvest, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03783T1034;;1,00;0,01;USD;01.06.2021 0:00:00;Эмитенты с листингом в США
123;APPN;Appian Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US03782L1017;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
124;APPS;Digital Turbine, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US25400W1027;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
125;APTV;Aptiv PLC ;Акции;Акции иностранного эмитента обыкновенные;;JE00B783TY65;;1,00;0,01;USD;26.04.2017 0:00:00;Эмитенты с листингом в США
126;ARCC;Ares Capital Corporation;Акции;Акции иностранного эмитента обыкновенные;;US04010L1035;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
127;ARCT;Arcturus Therapeutics Holdings Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03969T1097;;1,00;0,01;USD;13.10.2020 0:00:00;Эмитенты с листингом в США
128;ARE;Alexandria Real Estate Equities, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0152711091;;1,00;0,01;USD;31.08.2017 0:00:00;Эмитенты с листингом в США
129;ARMK;Aramark;Акции;Акции иностранного эмитента обыкновенные;;US03852U1060;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
130;ARNC;Arconic Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03966V1070;;1,00;0,01;USD;03.04.2020 0:00:00;Эмитенты с листингом в США
131;ARQT;Arcutis Biotherapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03969K1088;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
132;ARVL;Arrival;Акции;Акции иностранного эмитента обыкновенные;;LU2314763264;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
133;ARVN;Arvinas, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US04335A1051;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
134;ARW;Arrow Electronics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0427351004;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
135;ARWR;Arrowhead Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US04280A1007;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
136;ASAN;Asana, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US04342Y1047;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
137;ASGN;ASGN Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US00191U1025;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
138;ASH;Ashland Global Holdings Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0441861046;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
139;ASIX;AdvanSix Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00773T1016;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
140;ASO;Academy Sports and Outdoors, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00402L1070;;1,00;0,01;USD;01.06.2021 0:00:00;Эмитенты с листингом в США
141;ASTR;Astra Space, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US04634X1037;;1,00;0,01;USD;03.09.2021 0:00:00;Эмитенты с листингом в США
142;ATEX;Anterix Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03676C1009;;1,00;0,01;USD;13.10.2020 0:00:00;Эмитенты с листингом в США
143;ATGE;Adtalem Global Education Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00737L1035;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
144;ATKR;Atkore Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0476491081;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
145;ATNI;ATN International, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00215F1075;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
146;ATR;AptarGroup, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0383361039;;1,00;0,01;USD;18.05.2020 0:00:00;Эмитенты с листингом в США
147;ATRA;Atara Biotherapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0465131078;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
148;ATRC;AtriCure, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US04963C2098;;1,00;0,01;USD;13.10.2020 0:00:00;Эмитенты с листингом в США
149;ATRI;Atrion Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0499041053;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
150;ATRO;Astronics Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0464331083;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
151;ATUS;Altice USA, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US02156K1034;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
152;ATVI;Activision Blizzard, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00507V1098;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
153;AUPH;Aurinia Pharmaceuticals Inc.;Акции;Акции иностранного эмитента обыкновенные;;CA05156V1022;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
154;AVA;Avista Corporation;Акции;Акции иностранного эмитента обыкновенные;;US05379B1070;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
155;AVAV;AeroVironment, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0080731088;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
156;AVB;AvalonBay Communities, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0534841012;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
157;AVGO;Broadcom Inc.;Акции;Акции иностранного эмитента обыкновенные;;US11135F1012;;1,00;0,01;USD;16.04.2018 0:00:00;Эмитенты с листингом в США
158;AVIR;Atea Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US04683R1068;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
