Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;Торговый календарь
1013;MP;MP Materials Corp.;Акции;Акции иностранного эмитента обыкновенные класса A;;US5533681012;;1,00;0,01;USD;26.10.2021 0:00:00;Эмитенты с листингом в США
1014;MPC;Marathon Petroleum Corporation;Акции;Акции иностранного эмитента обыкновенные;;US56585A1025;;1,00;0,01;USD;01.06.2017 0:00:00;Эмитенты с листингом в США
1015;MPW;Medical Properties Trust, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US58463J3041;;1,00;0,01;USD;26.10.2021 0:00:00;Эмитенты с листингом в США
1016;MPWR;Monolithic Power Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6098391054;;1,00;0,01;USD;18.05.2020 0:00:00;Эмитенты с листингом в США
1017;MQ;Marqeta, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US57142B1044;;1,00;0,01;USD;09.06.2021 0:00:00;Эмитенты с листингом в США
1018;MRC;MRC Global Inc.;Акции;Акции иностранного эмитента обыкновенные;;US55345K1034;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
1019;MRK;Merck & Co., Inc.;Акции;Акции иностранного эмитента обыкновенные;;US58933Y1055;;1,00;0,01;USD;19.10.2016 0:00:00;Эмитенты с листингом в США
1020;MRK@DE;MERCK Kommanditgesellschaft auf Aktien;Акции;Акции иностранного эмитента обыкновенные;;DE0006599905;;1,00;0,01;EUR;21.08.2020 0:00:00;Эмитенты с листингом в ФРГ
1021;MRNA;Moderna, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US60770K1079;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
1022;MRO;Marathon Oil Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5658491064;;1,00;0,01;USD;19.10.2016 0:00:00;Эмитенты с листингом в США
1023;MRTX;Mirati Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US60468T1051;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
1024;MRVI;Maravai LifeSciences Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US56600D1072;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
1025;MRVL;Marvell Technology, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5738741041;;1,00;0,01;USD;29.04.2021 0:00:00;Эмитенты с листингом в США
1026;MS;Morgan Stanley;Акции;Акции иностранного эмитента обыкновенные;;US6174464486;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;Эмитенты с листингом в США
1027;MSA;MSA Safety Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US5534981064;;1,00;0,01;USD;18.05.2020 0:00:00;Эмитенты с листингом в США
1028;MSCI;MSCI Inc.;Акции;Акции иностранного эмитента обыкновенные;;US55354G1004;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
1029;MSEX;Middlesex Water Company;Акции;Акции иностранного эмитента обыкновенные;;US5966801087;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
1030;MSFT;Microsoft Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5949181045;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;Эмитенты с листингом в США
1031;MSGE;Madison Square Garden Entertainment Corp.;Акции;Акции иностранного эмитента обыкновенные класса A;;US55826T1025;;1,00;0,01;USD;21.04.2020 0:00:00;Эмитенты с листингом в США
1032;MSGS;Madison Square Garden Sports Corp.;Акции;Акции иностранного эмитента обыкновенные класса A;;US55825T1034;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
1033;MSI;Motorola Solutions, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6200763075;;1,00;0,01;USD;18.05.2017 0:00:00;Эмитенты с листингом в США
1034;MSM;MSC Industrial Direct Co., Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US5535301064;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
1035;MSTR;MicroStrategy Incorporated;Акции;Акции иностранного эмитента обыкновенные класса A;;US5949724083;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
1036;MTB;M&T Bank Corporation;Акции;Акции иностранного эмитента обыкновенные;;US55261F1049;;1,00;0,01;USD;01.06.2017 0:00:00;Эмитенты с листингом в США
1037;MTCH;Match Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US57667L1070;;1,00;0,01;USD;06.07.2020 0:00:00;Эмитенты с листингом в США
1038;MTD;Mettler-Toledo International Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5926881054;;1,00;0,01;USD;31.08.2017 0:00:00;Эмитенты с листингом в США
1039;MTG;MGIC Investment Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5528481030;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
1040;MTH;Meritage Homes Corporation;Акции;Акции иностранного эмитента обыкновенные;;US59001A1025;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
1041;MTN;Vail Resorts, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US91879Q1094;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
1042;MTOR;Meritor, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US59001K1007;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
1043;MTRN;Materion Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5766901012;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
1044;MTTR;Matterport, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US5770961002;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
1045;MTX;Minerals Technologies Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6031581068;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
1046;MTX@DE;MTU Aero Engines AG;Акции;Акции иностранного эмитента обыкновенные;;DE000A0D9PT0;;1,00;0,01;EUR;01.03.2021 0:00:00;Эмитенты с листингом в ФРГ
1047;MU;Micron Technology, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5951121038;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;Эмитенты с листингом в США
1048;MUR;Murphy Oil Corporation;Акции;Акции иностранного эмитента обыкновенные;;US6267171022;;1,00;0,01;USD;01.06.2017 0:00:00;Эмитенты с листингом в США
1049;MUSA;Murphy USA Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6267551025;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
1050;MUV2@DE;Munchener Ruckversicherungs-Gesellschaft Aktiengesellschaft in Munchen;Акции;Акции иностранного эмитента обыкновенные;;DE0008430026;;1,00;0,01;EUR;29.09.2020 0:00:00;Эмитенты с листингом в ФРГ
1051;MVIS;MicroVision, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5949603048;;1,00;0,01;USD;01.06.2021 0:00:00;Эмитенты с листингом в США
1052;MXL;MaxLinear, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US57776J1007;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
1053;MYGN;Myriad Genetics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US62855J1043;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
1054;MYRG;MYR Group Inc.;Акции;Акции иностранного эмитента обыкновенные;;US55405W1045;;1,00;0,01;USD;11.06.2019 0:00:00;Эмитенты с листингом в США
1055;NABL;N-able, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US62878D1000;;1,00;0,01;USD;23.07.2021 0:00:00;Эмитенты с листингом в США
1056;NARI;Inari Medical, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US45332Y1091;;1,00;0,01;USD;04.12.2020 0:00:00;Эмитенты с листингом в США
1057;NATI;National Instruments Corporation;Акции;Акции иностранного эмитента обыкновенные;;US6365181022;;1,00;0,01;USD;18.05.2020 0:00:00;Эмитенты с листингом в США
1058;NAVI;Navient Corporation;Акции;Акции иностранного эмитента обыкновенные;;US63938C1080;;1,00;0,01;USD;14.06.2017 0:00:00;Эмитенты с листингом в США
1059;NBIX;Neurocrine Biosciences, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US64125C1099;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
1060;NCBS;Nicolet Bankshares, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US65406E1029;;1,00;0,01;USD;13.10.2020 0:00:00;Эмитенты с листингом в США
1061;NCNO;nCino, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US63947X1019;;1,00;0,01;USD;19.01.2022 0:00:00;Эмитенты с листингом в США
1062;NCR;NCR Corporation;Акции;Акции иностранного эмитента обыкновенные;;US62886E1082;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
1063;NDAQ;Nasdaq, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6311031081;;1,00;0,01;USD;18.05.2017 0:00:00;Эмитенты с листингом в США
